"","n_pokoj","metraz","cena_m2","rok","pietro","pietro_maks","dzielnica","cena","kat_cenowa"
"1",3,89,5270,2007,2,2,"Krzyki",469030,"1. bardzo tanie"
"2",4,163,6687,2002,2,2,"Psie Pole",1089981,"4. bardzo drogie"
"3",3,52,6731,1930,1,2,"Srodmiescie",350012,"4. bardzo drogie"
"4",4,95.03,5525,2016,1,2,"Krzyki",525040.75,"2. tanie"
"5",4,88,5216,1930,3,4,"Srodmiescie",459008,"1. bardzo tanie"
"6",2,50,5600,1915,3,4,"Krzyki",280000,"2. tanie"
"7",2,48,9146,2010,2,6,"Fabryczna",439008,"4. bardzo drogie"
"8",2,46,9761,2011,4,6,"Stare Miasto",449006,"4. bardzo drogie"
"9",3,67,5209,1990,1,10,"Fabryczna",349003,"1. bardzo tanie"
"10",2,45.8,6878,2000,3,4,"Krzyki",315012.4,"4. bardzo drogie"
"11",3,76,8684,1930,0,0,"Psie Pole",659984,"4. bardzo drogie"
"12",1,24.5,6327,2016,3,3,"Krzyki",155011.5,"3. drogie"
"13",2,47.41,3586,1930,1,3,"Krzyki",170012.26,"1. bardzo tanie"
"14",3,65,5369,1990,8,10,"Psie Pole",348985,"2. tanie"
"15",1,30,8100,2003,0,0,"Krzyki",243000,"4. bardzo drogie"
"16",1,22,8409,1989,2,4,"Krzyki",184998,"4. bardzo drogie"
"17",1,27,8111,2016,0,0,"Fabryczna",218997,"4. bardzo drogie"
"18",2,39.36,5716,1970,2,4,"Fabryczna",224981.76,"2. tanie"
"19",3,47,6340,1980,5,6,"Srodmiescie",297980,"3. drogie"
"20",3,52,6154,1930,3,4,"Fabryczna",320008,"3. drogie"
"21",3,51,5882,1985,1,10,"Krzyki",299982,"3. drogie"
"22",3,63,6968,1930,0,0,"Srodmiescie",438984,"4. bardzo drogie"
"23",2,36,5972,1985,8,11,"Fabryczna",214992,"3. drogie"
"24",3,68.41,6870,2013,0,0,"Krzyki",469976.7,"4. bardzo drogie"
"25",1,26.5,7358,1983,4,10,"Psie Pole",194987,"4. bardzo drogie"
"26",4,80,5363,1995,7,7,"Fabryczna",429040,"2. tanie"
"27",2,47.7,4591,1980,3,4,"Psie Pole",218990.7,"1. bardzo tanie"
"28",3,56.78,6675,1975,1,2,"Fabryczna",379006.5,"4. bardzo drogie"
"29",2,45.07,5303,1955,3,4,"Srodmiescie",239006.21,"2. tanie"
"30",3,95.34,4277,2015,1,2,"Fabryczna",407769.18,"1. bardzo tanie"
"31",3,94.86,4671,2015,1,2,"Fabryczna",443091.06,"1. bardzo tanie"
"32",2,47,6064,1936,0,0,"Psie Pole",285008,"3. drogie"
"33",2,55,5000,2005,0,0,"Psie Pole",275000,"1. bardzo tanie"
"34",2,33,6909,1980,8,11,"Fabryczna",227997,"4. bardzo drogie"
"35",4,87.8,4897,2011,3,3,"Krzyki",429956.6,"1. bardzo tanie"
"36",3,66.7,5232,1935,1,2,"Psie Pole",348974.4,"1. bardzo tanie"
"37",2,49.69,5937,2009,4,6,"Psie Pole",295009.53,"3. drogie"
"38",3,51.63,7341,1936,1,1,"Srodmiescie",379015.83,"4. bardzo drogie"
"39",3,64,5781,1981,3,4,"Fabryczna",369984,"2. tanie"
"40",4,90,5322,1997,0,0,"Krzyki",478980,"2. tanie"
"41",2,53,5264,2007,2,3,"Krzyki",278992,"1. bardzo tanie"
"42",4,95,4621,1920,4,4,"Srodmiescie",438995,"1. bardzo tanie"
"43",4,80,5875,2006,3,3,"Fabryczna",470000,"3. drogie"
"44",1,25,5160,2017,1,2,"Fabryczna",129000,"1. bardzo tanie"
"45",2,55,6364,2016,4,12,"Fabryczna",350020,"3. drogie"
"46",1,37.2,5780,2011,0,0,"Fabryczna",215016,"2. tanie"
"47",2,42.74,6294,1904,4,4,"Krzyki",269005.56,"3. drogie"
"48",2,54,4796,1930,4,5,"Krzyki",258984,"1. bardzo tanie"
"49",3,67,5806,1986,1,10,"Krzyki",389002,"3. drogie"
"50",3,58.63,6976,2016,10,14,"Fabryczna",409002.88,"4. bardzo drogie"
"51",3,54,6185,1978,5,10,"Srodmiescie",333990,"3. drogie"
"52",2,55,5436,2005,1,3,"Krzyki",298980,"2. tanie"
"53",3,66.41,6385,2016,7,14,"Fabryczna",424027.85,"3. drogie"
"54",3,60.64,6580,2016,11,14,"Fabryczna",399011.2,"3. drogie"
"55",2,52.5,7600,2008,1,6,"Psie Pole",399000,"4. bardzo drogie"
"56",3,63.7,5102,1980,5,8,"Fabryczna",324997.4,"1. bardzo tanie"
"57",3,49,6918,1981,4,4,"Srodmiescie",338982,"4. bardzo drogie"
"58",2,34,6735,1908,3,4,"Srodmiescie",228990,"4. bardzo drogie"
"59",2,45.9,5817,2016,0,0,"Fabryczna",267000.3,"3. drogie"
"60",4,94,8500,2015,6,6,"Srodmiescie",799000,"4. bardzo drogie"
"61",4,113,6628,1910,3,5,"Srodmiescie",748964,"3. drogie"
"62",3,90,7211,1927,1,5,"Srodmiescie",648990,"4. bardzo drogie"
"63",3,68,6765,1937,0,0,"Krzyki",460020,"4. bardzo drogie"
"64",3,94,4894,2010,3,3,"Krzyki",460036,"1. bardzo tanie"
"65",2,52,5192,1920,2,2,"Psie Pole",269984,"1. bardzo tanie"
"66",3,106,5755,1901,1,5,"Srodmiescie",610030,"2. tanie"
"67",2,57,8754,2015,2,4,"Krzyki",498978,"4. bardzo drogie"
"68",3,90,7544,2013,2,5,"Stare Miasto",678960,"4. bardzo drogie"
"69",2,37.18,6186,2017,1,3,"Krzyki",229995.48,"3. drogie"
"70",3,63.3,4408,1930,0,0,"Psie Pole",279026.4,"1. bardzo tanie"
"71",2,54.03,4979,1930,4,5,"Fabryczna",269015.37,"1. bardzo tanie"
"72",3,59.2,5895,1935,0,0,"Srodmiescie",348984,"3. drogie"
"73",1,31.7,7413,2003,3,6,"Krzyki",234992.1,"4. bardzo drogie"
"74",2,55.6,5306,2006,2,2,"Krzyki",295013.6,"2. tanie"
"75",2,32.84,7004,1935,0,0,"Krzyki",230011.36,"4. bardzo drogie"
"76",2,34.5,7681,1970,6,11,"Krzyki",264994.5,"4. bardzo drogie"
"77",3,75.7,5205,2008,2,2,"Krzyki",394018.5,"1. bardzo tanie"
"78",3,59.6,4530,1925,3,3,"Psie Pole",269988,"1. bardzo tanie"
"79",3,74.25,4916,1960,3,4,"Stare Miasto",365013,"1. bardzo tanie"
"80",2,62,7403,1900,2,4,"Stare Miasto",458986,"4. bardzo drogie"
"81",4,45,8444,1900,2,4,"Stare Miasto",379980,"4. bardzo drogie"
"82",1,40,7175,1950,3,5,"Stare Miasto",287000,"4. bardzo drogie"
"83",1,27.66,5242,2017,2,2,"Psie Pole",144993.72,"1. bardzo tanie"
"84",2,45,5889,2008,2,2,"Psie Pole",265005,"3. drogie"
"85",3,50,5900,1975,6,10,"Krzyki",295000,"3. drogie"
"86",3,75.2,5306,1999,2,3,"Krzyki",399011.2,"2. tanie"
"87",3,62.5,5120,1985,9,10,"Krzyki",320000,"1. bardzo tanie"
"88",2,47.3,6871,2012,1,3,"Krzyki",324998.3,"4. bardzo drogie"
"89",2,49.16,5879,2001,5,7,"Psie Pole",289011.64,"3. drogie"
"90",2,42,6643,2001,0,0,"Fabryczna",279006,"3. drogie"
"91",3,46.85,8517,1965,2,4,"Srodmiescie",399021.45,"4. bardzo drogie"
"92",2,50.55,6330,1950,3,5,"Stare Miasto",319981.5,"3. drogie"
"93",3,64.9,7473,1996,3,6,"Srodmiescie",484997.7,"4. bardzo drogie"
"94",3,64,5063,2008,3,3,"Krzyki",324032,"1. bardzo tanie"
"95",3,41,8512,1968,1,4,"Stare Miasto",348992,"4. bardzo drogie"
"96",2,64,7172,2004,3,4,"Srodmiescie",459008,"4. bardzo drogie"
"97",4,105,4943,2000,6,8,"Krzyki",519015,"1. bardzo tanie"
"98",2,52,6904,2000,1,8,"Krzyki",359008,"4. bardzo drogie"
"99",3,65.4,7416,1997,3,5,"Srodmiescie",485006.4,"4. bardzo drogie"
"100",4,66.6,5706,1991,5,5,"Krzyki",380019.6,"2. tanie"
"101",2,62.3,5570,1906,0,0,"Srodmiescie",347011,"2. tanie"
"102",2,40.48,7411,1930,0,0,"Fabryczna",299997.28,"4. bardzo drogie"
"103",2,38.38,9380,2012,0,0,"Krzyki",360004.4,"4. bardzo drogie"
"104",2,52.1,6142,1990,1,5,"Srodmiescie",319998.2,"3. drogie"
"105",2,54,10185,2008,4,8,"Stare Miasto",549990,"4. bardzo drogie"
"106",3,65,5615,1995,3,5,"Srodmiescie",364975,"2. tanie"
"107",2,48.42,5721,2005,1,3,"Krzyki",277010.82,"2. tanie"
"108",3,52.4,6489,1950,1,5,"Fabryczna",340023.6,"3. drogie"
"109",4,79.1,4235,1985,4,4,"Fabryczna",334988.5,"1. bardzo tanie"
"110",4,69.95,4861,2008,1,2,"Psie Pole",340026.95,"1. bardzo tanie"
"111",2,46.2,7338,1904,1,4,"Srodmiescie",339015.6,"4. bardzo drogie"
"112",3,58,5155,1930,4,5,"Krzyki",298990,"1. bardzo tanie"
"113",2,45.9,5817,2016,0,0,"Fabryczna",267000.3,"3. drogie"
"114",2,44.3,6682,2003,1,3,"Psie Pole",296012.6,"4. bardzo drogie"
"115",3,52.6,6625,2017,1,6,"Srodmiescie",348475,"3. drogie"
"116",2,39.6,6725,2017,0,0,"Srodmiescie",266310,"4. bardzo drogie"
"117",2,54,6019,2009,1,2,"Krzyki",325026,"3. drogie"
"118",2,35.5,5450,2018,0,0,"Psie Pole",193475,"2. tanie"
"119",2,75,5720,1930,2,4,"Srodmiescie",429000,"2. tanie"
"120",4,76,5987,2006,2,2,"Krzyki",455012,"3. drogie"
"121",2,47.4,5400,2018,0,0,"Psie Pole",255960,"2. tanie"
"122",3,77,6000,2000,1,4,"Krzyki",462000,"3. drogie"
"123",2,56,5804,1989,3,5,"Krzyki",325024,"3. drogie"
"124",3,54,5100,2018,1,5,"Psie Pole",275400,"1. bardzo tanie"
"125",2,45.5,6813,1936,0,0,"Krzyki",309991.5,"4. bardzo drogie"
"126",2,49.6,5754,2017,3,3,"Srodmiescie",285398.4,"2. tanie"
"127",2,48.9,6200,2017,0,0,"Srodmiescie",303180,"3. drogie"
"128",1,24.3,8889,2017,5,7,"Stare Miasto",216002.7,"4. bardzo drogie"
"129",4,72,4431,1982,4,4,"Psie Pole",319032,"1. bardzo tanie"
"130",4,51.4,6825,2017,0,0,"Srodmiescie",350805,"4. bardzo drogie"
"131",2,47.2,6335,1980,0,0,"Stare Miasto",299012,"3. drogie"
"132",2,40.5,6667,2011,3,4,"Fabryczna",270013.5,"4. bardzo drogie"
"133",3,58.69,5521,1958,0,0,"Krzyki",324027.49,"2. tanie"
"134",1,30.5,5738,1936,0,0,"Krzyki",175009,"2. tanie"
"135",2,56.4,5833,1985,8,10,"Krzyki",328981.2,"3. drogie"
"136",1,48.3,17578,2007,4,5,"Stare Miasto",849017.4,"4. bardzo drogie"
"137",3,63,5792,1930,3,3,"Srodmiescie",364896,"2. tanie"
"138",2,33.87,7352,2017,3,4,"Krzyki",249012.24,"4. bardzo drogie"
"139",2,57.1,6042,2004,2,10,"Krzyki",344998.2,"3. drogie"
"140",2,32.7,6422,1980,6,10,"Fabryczna",209999.4,"3. drogie"
"141",2,38.45,10401,2017,6,6,"Stare Miasto",399918.45,"4. bardzo drogie"
"142",4,87.99,5330,1930,3,4,"Srodmiescie",468986.7,"2. tanie"
"143",2,47.71,6581,2017,2,4,"Krzyki",313979.51,"3. drogie"
"144",4,136.95,6418,1903,0,0,"Stare Miasto",878945.1,"3. drogie"
